Swarm ID,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,2000-01-16 22:40:11.440000+00:00,6.825,-33.774,10.0,4.8,mb,,,,1.09,us,usp0009m8b,2014-11-07T01:09:20.041Z,central Mid-Atlantic Ridge,earthquake,,,,11.0,reviewed,us,us
,2000-01-20 10:51:17.410000+00:00,-0.235,-18.042,10.0,4.8,mb,,,,0.85,us,usp0009mdn,2014-11-07T01:09:21.025Z,central Mid-Atlantic Ridge,earthquake,,,,36.0,reviewed,us,us
,2000-01-20 12:47:19.010000+00:00,1.23,-30.443,10.0,4.4,mb,,,,0.94,us,usp0009mdu,2014-11-07T01:09:21.041Z,central Mid-Atlantic Ridge,earthquake,,,,5.0,reviewed,us,us
,2000-01-20 15:45:23.230000+00:00,0.238,-18.076,10.0,4.6,mb,,,,1.26,us,usp0009me0,2014-11-07T01:09:21.057Z,central Mid-Atlantic Ridge,earthquake,,,,18.0,reviewed,us,us
,2000-01-22 08:38:07.190000+00:00,3.019,-31.14,10.0,4.3,mb,,,,1.39,us,usp0009mgh,2014-11-07T01:09:21.310Z,central Mid-Atlantic Ridge,earthquake,,,,7.0,reviewed,us,us
0,2000-01-28 15:26:35.580000+00:00,1.996,-30.651,10.0,4.8,mb,,,,0.88,us,usp0009msg,2014-11-07T01:09:22.484Z,central Mid-Atlantic Ridge,earthquake,,,,26.0,reviewed,us,us
0,2000-01-28 16:56:17.670000+00:00,1.96,-30.679,10.0,4.4,mb,,,,0.75,us,usp0009msp,2014-11-07T01:09:22.536Z,central Mid-Atlantic Ridge,earthquake,,,,4.0,reviewed,us,us
,2000-02-03 04:28:13.840000+00:00,-0.55,-19.442,10.0,4.7,mb,,,,0.77,us,usp0009mzj,2014-11-07T01:09:26.001Z,central Mid-Atlantic Ridge,earthquake,,,,29.0,reviewed,us,us
,2000-02-06 05:44:03.320000+00:00,0.726,-30.242,10.0,4.5,mb,,,,1.26,us,usp0009n40,2014-11-07T01:09:27.230Z,central Mid-Atlantic Ridge,earthquake,,,,13.0,reviewed,us,us
1,2000-02-09 18:28:53.390000+00:00,0.0,-16.351,10.0,4.7,mb,,,,1.15,us,usp0009n8t,2014-11-07T01:09:29.114Z,north of Ascension Island,earthquake,,,,18.0,reviewed,us,us
1,2000-02-09 21:30:21.190000+00:00,0.02,-16.283,10.0,4.7,mb,,,,1.27,us,usp0009n91,2014-11-07T01:09:29.142Z,north of Ascension Island,earthquake,,,,7.0,reviewed,us,us
,2000-02-17 03:13:58.730000+00:00,10.76,-41.417,10.0,4.5,mb,,,,0.76,us,usp0009njm,2014-11-07T01:09:31.267Z,northern Mid-Atlantic Ridge,earthquake,,,,11.0,reviewed,us,us
2,2000-02-25 21:17:04.600000+00:00,8.89,-39.943,10.0,4.3,mb,,,,1.02,us,usp0009nyq,2014-11-07T01:09:33.711Z,central Mid-Atlantic Ridge,earthquake,,,,4.0,reviewed,us,us
