Swarm ID,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,2000-01-10 18:12:49.470000+00:00,58.277,-32.539,10.0,4.7,mb,,,,1.16,us,usp0009m0c,2014-11-07T01:09:19.022Z,Reykjanes Ridge,earthquake,,,,33.0,reviewed,us,us
0,2000-02-20 07:26:30.620000+00:00,55.954,-34.6,10.0,4.5,mb,,,,1.03,us,usp0009nqk,2014-11-07T01:09:31.854Z,Reykjanes Ridge,earthquake,,,,23.0,reviewed,us,us
0,2000-02-20 07:46:11.820000+00:00,55.821,-34.808,10.0,4.4,mb,,,,1.35,us,usp0009nqm,2014-11-07T01:09:31.857Z,Reykjanes Ridge,earthquake,,,,13.0,reviewed,us,us
0,2000-02-20 09:45:31.580000+00:00,56.027,-34.564,10.0,4.4,mb,,,,1.11,us,usp0009nqr,2014-11-07T01:09:31.887Z,Reykjanes Ridge,earthquake,,,,7.0,reviewed,us,us
0,2000-02-20 10:00:59.290000+00:00,55.705,-34.842,10.0,4.5,mb,,,,1.12,us,usp0009nqu,2014-11-07T01:09:31.892Z,Reykjanes Ridge,earthquake,,,,4.0,reviewed,us,us
0,2000-02-20 10:15:34.930000+00:00,55.765,-34.706,10.0,3.2,mb,,,,1.08,us,usp0009nqv,2014-11-07T01:09:31.894Z,Reykjanes Ridge,earthquake,,,,1.0,reviewed,us,us
0,2000-02-20 10:42:37.590000+00:00,56.008,-34.454,10.0,4.9,mwc,,,,0.99,us,usp0009nqw,2016-11-09T21:55:14.864Z,Reykjanes Ridge,earthquake,,,,,reviewed,us,hrv
,2000-03-12 10:23:24.460000+00:00,53.451,-34.524,10.0,4.2,mb,,,,1.07,us,usp0009pm4,2014-11-07T01:09:40.952Z,Reykjanes Ridge,earthquake,,,,1.0,reviewed,us,us
,2000-03-18 12:28:58.860000+00:00,57.37,-33.294,10.0,4.6,mb,,,,1.38,us,usp0009pve,2014-11-07T01:09:42.941Z,Reykjanes Ridge,earthquake,,,,20.0,reviewed,us,us
,2000-04-05 15:45:54.720000+00:00,54.389,-35.295,10.0,4.3,mb,,,,0.98,us,usp0009qv5,2014-11-07T01:09:51.737Z,Reykjanes Ridge,earthquake,,,,3.0,reviewed,us,us
1,2000-04-20 07:53:46.670000+00:00,57.445,-32.919,10.0,3.9,mb,,,,0.45,us,usp0009rk6,2014-11-07T01:09:55.178Z,Reykjanes Ridge,earthquake,,,,2.0,reviewed,us,us
1,2000-04-20 09:08:48.550000+00:00,57.525,-33.041,10.0,4.7,mb,,,,0.97,us,usp0009rkf,2014-11-07T01:09:55.233Z,Reykjanes Ridge,earthquake,,,,50.0,reviewed,us,us
1,2000-04-20 16:07:29.240000+00:00,57.72,-33.103,10.0,4.6,mb,,,,0.94,us,usp0009rm2,2014-11-07T01:09:55.291Z,Reykjanes Ridge,earthquake,,,,19.0,reviewed,us,us
,2000-04-23 00:51:37.460000+00:00,52.745,-35.069,10.0,4.4,mb,,,,0.7,us,usp0009rqr,2014-11-07T01:09:55.806Z,Reykjanes Ridge,earthquake,,,,4.0,reviewed,us,us
,2000-05-05 17:07:38.870000+00:00,52.684,-34.665,10.0,4.1,mb,,,,0.93,us,usp0009sf2,2014-11-07T01:10:04.296Z,Reykjanes Ridge,earthquake,,,,13.0,reviewed,us,us
,2000-07-05 01:44:24.520000+00:00,59.293,-30.411,10.0,4.4,mb,60.0,,,1.0,us,usp0009vsx,2014-11-07T01:10:32.116Z,Reykjanes Ridge,earthquake,,,,34.0,reviewed,us,us
,2000-07-11 13:24:51.230000+00:00,53.206,-35.428,10.0,4.4,mb,12.0,,,0.74,us,usp0009w8r,2014-11-07T01:10:35.330Z,Reykjanes Ridge,earthquake,,,,2.0,reviewed,us,us
