Swarm ID,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,2000-01-16 05:51:50.500000+00:00,-45.193,-14.401,10.0,4.4,mb,,,,1.15,us,usp0009m77,2014-11-07T01:09:19.871Z,southern Mid-Atlantic Ridge,earthquake,,,,4.0,reviewed,us,us
,2000-01-31 01:30:31.590000+00:00,-39.123,-15.61,10.0,4.6,mb,,,,1.5,us,usp0009mvm,2014-11-07T01:09:22.898Z,Tristan da Cunha region,earthquake,,,,4.0,reviewed,us,us
,2000-02-29 11:30:32.560000+00:00,-33.943,-14.575,10.0,4.8,mb,,,,0.94,us,usp0009p3n,2014-11-07T01:09:34.686Z,southern Mid-Atlantic Ridge,earthquake,,,,11.0,reviewed,us,us
,2000-03-05 10:37:29.600000+00:00,-12.529,-14.985,10.0,4.6,mb,,,,0.99,us,usp0009pa3,2014-11-07T01:09:39.421Z,southern Mid-Atlantic Ridge,earthquake,,,,13.0,reviewed,us,us
,2000-03-20 03:46:02.940000+00:00,-48.837,-8.928,10.0,4.6,mb,,,,1.44,us,usp0009py2,2014-11-07T01:09:43.531Z,southern Mid-Atlantic Ridge,earthquake,,,,7.0,reviewed,us,us
,2000-04-01 09:10:50.770000+00:00,-7.583,-13.44,10.0,4.6,mb,,,,1.22,us,usp0009qm8,2014-11-07T01:09:48.550Z,"113 km ENE of Georgetown, Saint Helena",earthquake,,,,15.0,reviewed,us,us
,2000-04-05 07:10:18.570000+00:00,-6.845,-11.991,10.0,4.5,mb,,,,1.14,us,usp0009quh,2014-11-07T01:09:51.611Z,"292 km ENE of Georgetown, Saint Helena",earthquake,,,,2.0,reviewed,us,us
,2000-04-08 12:58:47.600000+00:00,-43.675,-15.969,10.0,4.5,mb,,,,1.16,us,usp0009r07,2014-11-07T01:09:52.456Z,southern Mid-Atlantic Ridge,earthquake,,,,7.0,reviewed,us,us
,2000-04-16 22:28:15.970000+00:00,-6.574,-11.771,10.0,3.7,mb,,,,1.43,us,usp0009rdf,2014-11-07T01:09:54.409Z,Ascension Island region,earthquake,,,,1.0,reviewed,us,us
,2000-05-18 09:50:25.730000+00:00,-10.294,-13.167,10.0,5.3,mwc,,,,1.18,us,usp0009t49,2016-11-09T22:32:49.488Z,"295 km SSE of Georgetown, Saint Helena",earthquake,,,,,reviewed,us,hrv
,2000-05-29 17:03:23.350000+00:00,-29.135,-13.764,10.0,4.4,mb,,,,1.28,us,usp0009tme,2014-11-07T01:10:12.208Z,southern Mid-Atlantic Ridge,earthquake,,,,5.0,reviewed,us,us
,2000-06-08 23:49:48.800000+00:00,-49.035,-9.595,10.0,4.4,mb,9.0,,,1.11,us,usp0009u96,2014-11-07T01:10:20.472Z,southern Mid-Atlantic Ridge,earthquake,,,,3.0,reviewed,us,us
