Swarm ID,Start Time,End Time,Duration,Origin Latitude,Origin Longitude,Centre Latitude,Centre Longitude,Number of Earthquakes,Magnitudes,Time Intervals (h),Distance Intervals (km),Minimum Time Limit (h),Minimum Distance Limit (km),Average Time Interval (h),Average Distance Interval (km)
0,2000-02-18 07:35:16.020000+00:00,2000-02-22 06:48:21.110000+00:00,3 days 23:13:05.090000,16.483,-46.111,16.616500000000002,-46.3475,5,"[3.7, 4.8, 5.6, 4.5, 4.8]","[0.5107, 0.00571111111111111, 3.1565666666666665, 91.54510277777777]","[43.79566734633103, 7.617191552530883, 13.841843231364322, 12.361398311327955]",91.54510277777777,43.79566734633103,23.804520138888886,19.40402511038855
1,2000-04-05 16:15:33.890000+00:00,2000-04-07 04:26:46.710000+00:00,1 days 12:11:12.820000,23.568,-45.088,23.543,-44.96,2,"[4.4, 4.5]",[36.18689444444445],[26.719729554572776],36.18689444444445,26.719729554572776,36.18689444444445,26.719729554572776
2,2000-07-31 13:34:02.720000+00:00,2000-07-31 15:02:46.490000+00:00,0 days 01:28:43.770000,40.767,-29.63,40.823499999999996,-29.608,6,"[4.6, 4.8, 5.2, 4.8, 5.2, 4.6]","[0.3717944444444444, 0.03115277777777778, 0.12427777777777776, 0.299225, 0.652375]","[28.4677192883825, 9.68394229562972, 1.616650051391551, 2.2391426407057775, 15.699833677859036]",0.652375,28.4677192883825,0.295765,11.541457590793717
3,2000-10-05 03:53:21+00:00,2000-10-05 13:39:11.670000+00:00,0 days 09:45:50.670000,31.614,-40.952,31.643,-40.9345,3,"[4.6, 4.4, 6.1]","[0.07293333333333334, 9.691141666666667]","[7.707399570067687, 13.096335118353794]",9.691141666666667,13.096335118353794,4.8820375,10.401867344210741
4,2001-01-20 22:48:44.520000+00:00,2001-01-21 12:16:08.670000+00:00,0 days 13:27:24.150000,45.083,-28.135,45.0655,-28.106,7,"[5.3, 4.7, 5.3, 4.5, 4.6, 5.3, 4.4]","[0.3488611111111111, 2.3790555555555555, 0.06281111111111111, 10.324097222222223, 0.054094444444444445, 0.28778888888888887]","[16.163441489813444, 19.193209930858863, 6.263725178905224, 0.6390187510705956, 2.332853143831779, 5.44785183760423]",10.324097222222223,19.193209930858863,2.2427847222222224,8.340016722014022
5,2001-01-22 04:24:46.270000+00:00,2001-01-23 09:53:24.070000+00:00,1 days 05:28:37.800000,27.234,-44.456,27.207,-44.428,2,"[3.9, 4.0]",[29.47716666666667],[8.159904112284712],29.47716666666667,8.159904112284712,29.47716666666667,8.159904112284712
6,2001-01-31 17:47:28.960000+00:00,2001-01-31 18:08:10.890000+00:00,0 days 00:20:41.930000,41.369,-29.249,41.3845,-29.3305,2,"[4.6, 4.8]",[0.34498055555555557],[14.06201459234565],0.34498055555555557,14.06201459234565,0.34498055555555557,14.06201459234565
7,2001-03-16 15:29:53.110000+00:00,2001-03-17 14:44:33.020000+00:00,0 days 23:14:39.910000,37.566,-32.281,37.559,-32.264,24,"[3.8, 4.0, 4.8, 5.0, 4.7, 4.2, 4.8, 4.0, 4.6, 4.8, 4.7, 4.5, 3.9, 4.7, 4.9, 4.8, 3.7, 4.8, 4.3, 4.6, 4.7, 3.6, 3.8, 4.5]","[4.719991666666667, 0.32621944444444445, 0.5167361111111111, 0.23193611111111112, 0.17509166666666667, 0.34636944444444445, 0.19915000000000002, 0.052788888888888885, 0.524025, 0.23873333333333335, 0.7841750000000001, 0.13888611111111113, 0.22239444444444445, 0.24653333333333333, 1.3909055555555556, 0.7416861111111112, 0.8558861111111111, 2.1537916666666668, 1.1828944444444445, 1.973563888888889, 1.7382388888888889, 0.013605555555555555, 4.470816666666667]","[26.86357081202174, 12.653094432760126, 6.131992442668908, 5.666286951691288, 14.681326666724457, 6.545535181901061, 6.7190003707115515, 3.1524033651438517, 3.2198356704472446, 6.041306223513358, 4.649489210871967, 22.44914785166939, 27.585181471218903, 1.0659574283254423, 8.039716256525331, 23.561714997378758, 0.5317742724823094, 24.541607608695635, 3.1613786139978273, 5.989052859867726, 8.737598333760229, 4.853868044750535, 5.489350016079119]",4.719991666666667,27.585181471218903,1.0106269323671502,10.10131256883508
8,2001-04-08 18:26:22.310000+00:00,2001-04-15 18:28:17.750000+00:00,7 days 00:01:55.440000,50.046,-29.029,49.809,-29.053,10,"[4.1, 3.7, 4.2, 3.5, 4.3, 4.1, 4.1, 3.8, 4.1, 3.3]","[3.523722222222222, 6.138655555555555, 26.106838888888888, 0.20885833333333334, 1.556575, 14.089561111111111, 27.921352777777777, 85.6178, 2.8687027777777776]","[3.0715858506804223, 32.59596184884988, 9.882942963671791, 3.5543519182989365, 4.9813121759975765, 4.902561531502213, 5.567351844875826, 21.77259051256408, 7.949182269977826]",85.6178,32.59596184884988,18.67022962962963,10.47531565737984
9,2001-04-19 23:00:30.340000+00:00,2001-04-20 20:30:57.620000+00:00,0 days 21:30:27.280000,30.392,-42.003,30.246499999999997,-42.051500000000004,2,"[3.6, 4.2]",[21.507577777777776],[33.58303618938309],21.507577777777776,33.58303618938309,21.507577777777776,33.58303618938309
10,2001-06-25 14:51:49.130000+00:00,2001-06-25 15:52:20.450000+00:00,0 days 01:00:31.320000,22.51,-45.102,22.5015,-45.031,2,"[4.5, 4.6]",[1.0087000000000002],[14.731885018249091],1.0087000000000002,14.731885018249091,1.0087000000000002,14.731885018249091
11,2001-07-13 19:48:19.240000+00:00,2001-07-15 12:11:30+00:00,1 days 16:23:10.760000,28.75,-43.437,28.755000000000003,-43.456500000000005,3,"[5.7, 4.7, 4.2]","[17.83028611111111, 22.55603611111111]","[8.53631959850398, 8.437273797221174]",22.55603611111111,8.53631959850398,20.19316111111111,8.486796697862577
12,2001-10-15 13:42:57.490000+00:00,2001-10-16 05:43:31.610000+00:00,0 days 16:00:34.120000,47.957,-27.781,47.956,-27.6955,2,"[4.4, 4.7]",[16.00947777777778],[12.773715824243354],16.00947777777778,12.773715824243354,16.00947777777778,12.773715824243354
13,2001-11-09 05:53:26.480000+00:00,2001-11-12 10:58:32.470000+00:00,3 days 05:05:05.990000,22.467,-45.029,22.4015,-45.07,3,"[4.7, 5.5, 4.8]","[76.29719444444446, 0.7878027777777779]","[18.6608262320074, 8.626774380995125]",76.29719444444446,18.6608262320074,38.54249861111112,13.643800306501262
14,2001-11-25 12:11:16.550000+00:00,2001-11-26 08:12:27.350000+00:00,0 days 20:01:10.800000,45.749,-27.826,45.769,-27.6905,3,"[4.2, 4.8, 4.2]","[0.8697027777777777, 19.149963888888887]","[8.743595967953897, 26.293949852999994]",19.149963888888887,26.293949852999994,10.009833333333333,17.518772910476947
15,2001-12-13 13:50:46.380000+00:00,2001-12-13 14:33:27.470000+00:00,0 days 00:42:41.090000,27.042,-44.496,27.089,-44.464,3,"[5.7, 4.4, 4.6]","[0.6573083333333333, 0.05410555555555555]","[11.449764818159343, 3.1034536164715143]",0.6573083333333333,11.449764818159343,0.3557069444444444,7.276609217315428
16,2001-12-26 01:22:25.290000+00:00,2001-12-26 01:38:20.140000+00:00,0 days 00:15:54.850000,40.631,-29.387,40.6085,-29.3595,2,"[5.1, 4.7]",[0.2652361111111111],[6.82914063334619],0.2652361111111111,6.82914063334619,0.2652361111111111,6.82914063334619
17,2001-12-30 14:19:54.740000+00:00,2001-12-31 19:08:09.110000+00:00,1 days 04:48:14.370000,36.159,-34.138,36.150999999999996,-34.1155,4,"[4.4, 4.4, 4.3, 4.7]","[0.012347222222222223, 27.73598333333333, 1.0556611111111112]","[3.9677887684234965, 8.17881915813854, 4.069002411353122]",27.73598333333333,8.17881915813854,9.601330555555554,5.405203445971719
18,2002-03-13 06:22:29.140000+00:00,2002-03-13 17:40:14.490000+00:00,0 days 11:17:45.350000,20.251,-45.513,20.305500000000002,-45.585,4,"[4.3, 4.9, 4.8, 4.7]","[0.06130833333333333, 2.24575, 8.988872222222222]","[14.15454632465112, 13.50596548629111, 4.98892798438562]",8.988872222222222,14.15454632465112,3.7653101851851853,10.883146598442616
19,2002-03-24 14:35:56.140000+00:00,2002-03-24 20:29:27.990000+00:00,0 days 05:53:31.850000,24.362,-46.355,24.4065,-46.385999999999996,3,"[5.5, 3.9, 4.6]","[5.863916666666666, 0.02826388888888889]","[6.627213423103679, 5.105298905546308]",5.863916666666666,6.627213423103679,2.9460902777777775,5.866256164324993
20,2002-03-28 05:48:25.940000+00:00,2002-03-28 05:50:38.160000+00:00,0 days 00:02:12.220000,22.638,-45.15,22.6205,-45.157,2,"[5.9, 5.5]",[0.036727777777777776],[4.134468934126705],0.036727777777777776,4.134468934126705,0.036727777777777776,4.134468934126705
21,2002-04-20 12:46:23.610000+00:00,2002-04-20 17:37:32.690000+00:00,0 days 04:51:09.080000,26.221,-45.02,26.0485,-45.061,2,"[4.6, 4.7]",[4.852522222222222],[39.09312863622903],4.852522222222222,39.09312863622903,4.852522222222222,39.09312863622903
22,2002-06-14 15:24:09.560000+00:00,2002-06-14 16:15:22.950000+00:00,0 days 00:51:13.390000,22.542,-45.136,22.540999999999997,-45.1165,3,"[5.5, 4.6, 5.4]","[0.39669166666666666, 0.45702777777777776]","[4.582739821739799, 3.2535493293404834]",0.45702777777777776,4.582739821739799,0.42685972222222224,3.918144575540141
23,2003-01-13 18:26:05.170000+00:00,2003-01-14 19:36:25.050000+00:00,1 days 01:10:19.880000,29.417,-42.957,29.4055,-42.983000000000004,2,"[4.7, 4.7]",[25.17218888888889],[5.65426714851137],25.17218888888889,5.65426714851137,25.17218888888889,5.65426714851137
24,2003-01-18 20:37:41.370000+00:00,2003-01-20 05:20:44.770000+00:00,1 days 08:43:03.400000,35.082,-34.931,35.075,-34.8735,2,"[5.2, 4.3]",[32.71761111111111],[10.602928399187174],32.71761111111111,10.602928399187174,32.71761111111111,10.602928399187174
25,2003-04-27 07:22:52.860000+00:00,2003-04-27 09:20:34.920000+00:00,0 days 01:57:42.060000,28.756,-43.649,28.674999999999997,-43.6045,5,"[4.6, 4.5, 4.1, 4.5, 4.3]","[0.040875, 0.10851944444444445, 0.12031944444444444, 1.6919694444444444]","[14.662253721440782, 7.088129784932114, 9.078384456642574, 1.492832039370766]",1.6919694444444444,14.662253721440782,0.4904208333333333,8.08040000059656
26,2003-06-07 11:37:49.360000+00:00,2003-06-07 12:11:29.330000+00:00,0 days 00:33:39.970000,31.046,-41.333,31.057499999999997,-41.3545,2,"[4.4, 4.5]",[0.5611027777777778],[4.831894169657241],0.5611027777777778,4.831894169657241,0.5611027777777778,4.831894169657241
27,2003-06-25 01:34:57.480000+00:00,2003-06-25 07:54:21.960000+00:00,0 days 06:19:24.480000,28.47,-43.623,28.645,-43.667500000000004,6,"[4.7, 5.7, 4.2, 5.4, 4.6, 4.4]","[0.06241388888888889, 0.5069222222222223, 0.36555, 2.870075, 2.518505555555556]","[38.80538212843949, 15.221432317072328, 6.01244478678551, 11.519070142391413, 5.253786450445689]",2.870075,38.80538212843949,1.2646933333333332,15.362423165026886
28,2003-07-21 12:46:58.520000+00:00,2003-07-21 12:56:37.430000+00:00,0 days 00:09:38.910000,30.722,-41.748,30.942,-41.718999999999994,2,"[4.7, 4.4]",[0.16080833333333333],[49.09598748360104],0.16080833333333333,49.09598748360104,0.16080833333333333,49.09598748360104
29,2003-08-02 17:30:30.090000+00:00,2003-08-06 17:17:53.600000+00:00,3 days 23:47:23.510000,35.031,-35.702,35.155,-35.741,3,"[5.8, 5.4, 5.4]","[0.385275, 95.4045888888889]","[30.762202458859633, 14.686425343875015]",95.4045888888889,30.762202458859633,47.894931944444444,22.724313901367324
30,2003-08-27 14:40:42.150000+00:00,2003-08-30 07:09:23.230000+00:00,2 days 16:28:41.080000,43.741,-28.922,43.635999999999996,-28.8975,2,"[5.5, 4.1]",[64.47807777777777],[23.664749230894152],64.47807777777777,23.664749230894152,64.47807777777777,23.664749230894152
31,2003-10-22 20:11:59.780000+00:00,2003-10-23 02:43:37.020000+00:00,0 days 06:31:37.240000,30.921,-41.227,30.9595,-41.3595,3,"[4.2, 4.6, 4.7]","[0.002172222222222222, 6.524838888888889]","[27.13268155004284, 4.195855934726116]",6.524838888888889,27.13268155004284,3.263505555555555,15.664268742384477
32,2003-11-21 01:01:12.340000+00:00,2003-11-21 06:26:05.370000+00:00,0 days 05:24:53.030000,45.228,-27.986,45.334500000000006,-28.0225,5,"[4.4, 4.5, 4.1, 5.4, 4.7]","[0.19202777777777777, 0.2087638888888889, 2.7317583333333335, 2.2821805555555557]","[3.2513263149754437, 1.317045628848901, 3.9763023876834573, 22.247713488570483]",2.7317583333333335,22.247713488570483,1.353682638888889,7.6980969550195715
33,2004-04-20 21:41:32.710000+00:00,2004-04-24 20:21:20.030000+00:00,3 days 22:39:47.320000,32.959,-39.293,32.9585,-39.3825,4,"[5.4, 5.1, 4.5, 4.6]","[3.6527805555555557, 0.8425805555555556, 90.16778333333333]","[2.821162484315317, 3.08819007068766, 20.909680698538462]",90.16778333333333,20.909680698538462,31.55438148148148,8.939677751180481
