Swarm ID,Start Time,End Time,Duration,Origin Latitude,Origin Longitude,Centre Latitude,Centre Longitude,Number of Earthquakes,Magnitudes,Time Intervals (h),Distance Intervals (km),Minimum Time Limit (h),Minimum Distance Limit (km),Average Time Interval (h),Average Distance Interval (km)
0,2000-06-12 22:44:27.250000+00:00,2000-06-14 21:16:38.040000+00:00,1 days 22:32:10.790000,-5.028,-12.347,-4.9725,-12.36,2,"[4.8, 5.3]",[46.53633055555556],[12.608807665674234],46.53633055555556,12.608807665674234,46.53633055555556,12.608807665674234
1,2000-06-16 17:59:03.320000+00:00,2000-06-16 18:17:58.880000+00:00,0 days 00:18:55.560000,-7.983,-13.395,-7.879,-13.4405,2,"[5.4, 5.4]",[0.31543333333333334],[25.097349842331287],0.31543333333333334,25.097349842331287,0.31543333333333334,25.097349842331287
2,2000-09-17 04:40:54.800000+00:00,2000-09-17 04:48:10.760000+00:00,0 days 00:07:15.960000,-31.081,-13.441,-31.041,-13.3655,2,"[4.7, 4.9]",[0.1211],[16.925167595500547],0.1211,16.925167595500547,0.1211,16.925167595500547
3,2000-10-12 04:47:18.760000+00:00,2000-10-12 09:23:46.560000+00:00,0 days 04:36:27.800000,-43.756,-16.122,-43.796,-16.0065,2,"[4.5, 4.8]",[4.607722222222222],[20.606623584985943],4.607722222222222,20.606623584985943,4.607722222222222,20.606623584985943
4,2001-04-09 01:03:26.500000+00:00,2001-04-09 19:56:01.070000+00:00,0 days 18:52:34.570000,-17.364,-14.165,-17.3285,-14.114999999999998,2,"[4.8, 5.1]",[18.876269444444446],[13.218866826835209],18.876269444444446,13.218866826835209,18.876269444444446,13.218866826835209
5,2001-08-28 17:27:04.950000+00:00,2001-08-28 17:40:35.850000+00:00,0 days 00:13:30.900000,-11.739,-13.248,-11.6085,-13.2495,2,"[4.3, 5.2]",[0.22525],[28.87347828624529],0.22525,28.87347828624529,0.22525,28.87347828624529
6,2001-09-20 02:45:41.200000+00:00,2001-09-20 02:50:50.060000+00:00,0 days 00:05:08.860000,-43.464,-15.853,-43.5975,-16.0165,2,"[4.7, 4.3]",[0.08579444444444445],[39.713654538842455],0.08579444444444445,39.713654538842455,0.08579444444444445,39.713654538842455
7,2001-10-23 22:51:14.500000+00:00,2001-10-23 23:22:30.840000+00:00,0 days 00:31:16.340000,-43.967,-16.195,-43.9755,-16.149,4,"[5.3, 4.6, 4.6, 5.4]","[0.07442222222222222, 0.4046611111111111, 0.04212222222222222]","[11.534456418136811, 7.948287584704128, 2.2060661763811638]",0.4046611111111111,11.534456418136811,0.17373518518518516,7.229603393074034
8,2001-12-01 15:49:09.190000+00:00,2001-12-02 16:50:17.660000+00:00,1 days 01:01:08.470000,-4.34,-12.248,-4.355499999999999,-12.1355,7,"[4.8, 4.8, 4.7, 4.8, 4.8, 4.8, 4.3]","[0.08493888888888888, 0.02608611111111111, 2.008016666666667, 2.9287027777777777, 14.014911111111111, 5.956363888888889]","[3.768369487432866, 12.183433609918572, 30.95242894535796, 5.515824734000042, 9.906587563067939, 5.096603691019869]",14.014911111111111,30.95242894535796,4.169836574074075,11.237208005132873
9,2002-04-10 00:13:43.220000+00:00,2002-04-11 16:21:28.620000+00:00,1 days 16:07:45.400000,-44.132,-15.993,-44.0145,-15.8705,14,"[5.4, 4.6, 4.2, 4.9, 5.3, 3.9, 4.8, 4.8, 4.8, 4.8, 4.0, 5.1, 4.6, 4.7]","[4.6981972222222215, 1.4294888888888888, 0.6879138888888888, 3.036463888888889, 0.8801861111111111, 4.093619444444444, 1.3603027777777779, 1.2087444444444444, 1.5747638888888889, 1.7681694444444445, 0.822925, 3.2629805555555556, 15.305522222222221]","[18.095242500595504, 15.766326000585368, 19.49798303090493, 11.70931949901878, 9.103088180475346, 4.256128904462541, 4.043486656644924, 4.134449281641062, 4.96789810035185, 17.111831947852917, 2.267293473546582, 9.829531111727944, 9.020890533478145]",15.305522222222221,19.49798303090493,3.0868675213675214,9.984882247791223
10,2002-04-25 00:49:57.990000+00:00,2002-04-25 08:02:38.280000+00:00,0 days 07:12:40.290000,-43.888,-15.806,-43.8855,-15.8325,2,"[4.5, 4.6]",[7.211191666666667],[4.295174432057517],7.211191666666667,4.295174432057517,7.211191666666667,4.295174432057517
11,2002-06-25 19:55:58.890000+00:00,2002-06-26 16:01:10.310000+00:00,0 days 20:05:11.420000,-4.83,-12.266,-4.7935,-12.2425,12,"[5.3, 5.3, 4.7, 5.6, 5.2, 4.7, 4.6, 5.2, 4.8, 4.8, 5.0, 4.6]","[0.33298055555555556, 0.5794222222222223, 0.9444944444444444, 1.1967138888888889, 0.48690277777777774, 0.45929166666666665, 1.0703527777777777, 0.4211722222222222, 1.9896194444444444, 3.2231, 9.382455555555554]","[23.240570922857145, 13.718101304626588, 7.522871713828327, 2.985727902498433, 31.343448885504703, 23.758305160258548, 9.863520826848037, 6.136094778946694, 3.2119117315202916, 5.091107688566486, 17.227718304938417]",9.382455555555554,31.343448885504703,1.8260459595959595,13.099943565490332
12,2002-07-13 06:50:37.840000+00:00,2002-07-13 07:05:16.400000+00:00,0 days 00:14:38.560000,-14.102,-14.143,-13.986,-14.318000000000001,2,"[4.9, 4.9]",[0.24404444444444442],[45.70307380767035],0.24404444444444442,45.70307380767035,0.24404444444444442,45.70307380767035
13,2002-09-26 12:55:29.780000+00:00,2002-09-26 13:34:31.700000+00:00,0 days 00:39:01.920000,-19.648,-12.014,-19.609,-11.95,2,"[5.7, 4.5]",[0.6505333333333334],[15.964200184838285],0.6505333333333334,15.964200184838285,0.6505333333333334,15.964200184838285
14,2002-12-21 19:53:13.040000+00:00,2002-12-21 22:26:09.110000+00:00,0 days 02:32:56.070000,-19.887,-11.982,-19.9185,-11.858,3,"[4.5, 4.3, 4.5]","[0.047355555555555554, 2.501552777777778]","[21.20538801033088, 5.721821853639119]",2.501552777777778,21.20538801033088,1.2744541666666667,13.463604931985
15,2003-07-19 15:10:35.670000+00:00,2003-07-19 15:20:46.390000+00:00,0 days 00:10:10.720000,-41.962,-16.455,-41.865,-16.4185,2,"[5.0, 4.7]",[0.16964444444444446],[22.383873620806714],0.16964444444444446,22.383873620806714,0.16964444444444446,22.383873620806714
16,2003-07-23 16:38:37.210000+00:00,2003-07-23 20:07:05.210000+00:00,0 days 03:28:28,-15.592,-13.351,-15.6025,-13.296500000000002,3,"[5.8, 5.3, 4.9]","[0.24946666666666667, 3.2249777777777777]","[11.059846620744509, 12.870867731263012]",3.2249777777777777,12.870867731263012,1.7372222222222222,11.96535717600376
17,2003-10-05 09:05:03.060000+00:00,2003-10-05 18:29:11.010000+00:00,0 days 09:24:07.950000,-19.934,-11.78,-19.9235,-11.783000000000001,3,"[5.1, 4.1, 5.1]","[0.18030000000000002, 9.221908333333333]","[6.424970378255997, 4.259938887578863]",9.221908333333333,6.424970378255997,4.701104166666667,5.3424546329174305
18,2004-02-27 09:50:45.140000+00:00,2004-02-28 05:23:54.420000+00:00,0 days 19:33:09.280000,-18.441,-12.508,-18.6315,-12.535499999999999,3,"[4.2, 5.1, 5.4]","[3.911277777777778, 15.6413]","[42.56949098069114, 9.96260555688296]",15.6413,42.56949098069114,9.776288888888889,26.266048268787053
19,2004-04-24 11:31:10.430000+00:00,2004-04-24 11:45:42.470000+00:00,0 days 00:14:32.040000,-22.122,-12.082,-22.157,-11.99,2,"[4.5, 5.1]",[0.24223333333333333],[20.501072856331152],0.24223333333333333,20.501072856331152,0.24223333333333333,20.501072856331152
20,2004-05-11 05:36:37.670000+00:00,2004-05-11 06:45:27.030000+00:00,0 days 01:08:49.360000,-44.235,-15.929,-44.198499999999996,-16.0955,3,"[4.2, 4.6, 4.3]","[1.0001777777777778, 0.14686666666666667]","[10.493539532810367, 29.730168494093164]",1.0001777777777778,29.730168494093164,0.5735222222222223,20.111854013451765
21,2004-06-07 20:32:17.220000+00:00,2004-06-07 20:40:16.810000+00:00,0 days 00:07:59.590000,-6.245,-11.522,-6.264,-11.462,2,"[4.6, 4.7]",[0.13321944444444445],[13.928187896990961],0.13321944444444445,13.928187896990961,0.13321944444444445,13.928187896990961
22,2004-07-06 15:02:54.880000+00:00,2004-07-06 15:31:52.960000+00:00,0 days 00:28:58.080000,-11.776,-13.375,-11.688500000000001,-13.5145,3,"[5.4, 5.3, 5.4]","[0.11288333333333334, 0.36991666666666667]","[36.0558103563993, 17.09028855082028]",0.36991666666666667,36.0558103563993,0.2414,26.57304945360979
23,2004-07-13 05:37:50.720000+00:00,2004-07-13 05:38:33.480000+00:00,0 days 00:00:42.760000,-29.891,-13.873,-29.904,-13.9185,2,"[4.8, 4.6]",[0.011877777777777777],[9.24919950971659],0.011877777777777777,9.24919950971659,0.011877777777777777,9.24919950971659
24,2004-09-28 13:29:41.720000+00:00,2004-09-28 13:39:50.570000+00:00,0 days 00:10:08.850000,-12.846,-14.522,-12.839500000000001,-14.6045,2,"[4.7, 5.1]",[0.169125],[17.969062962194887],0.169125,17.969062962194887,0.169125,17.969062962194887
